,jobtitle,jobdescription,experience
40,Industrial Engineer,"Industrial Engineer    
	(Columbus, OH) Design, develop, test, & evaluate integrated systems for managing industrial production process of metal fabricated consumer products. Develop tools, implement designs, & integrate machinery, equipment, & computer technologies (including CNC) to ensure effective process. Recommend actions to assure or improve product quality & reliability. Prepare layouts & drawings of machinery & equipment. Identify & implement new manufacturing technologies, process, or equipment. Monitor processes to identify ways to reduce losses, decrease time requirements, & improve quality. Coordinate purchase of equipment. Develop protocols associated with automated production equipment & safety standards. Master's degree in Industrial Engineering plus 1.5 years of experience in Plant or Industrial Engineer performing related duties required. Send resume to, HR Panacea Products Corporation, 2711 International St, Columbus, OH, 43228.",1-3 years of experience
41,Manufacturing / Industrial Engineer,"SIEMENS ENERGY, INC. seeks a Manufacturing/Industrial Engineer at Charlotte, NC facility. Provide technical support for Gas Turbine Rotor Shop. Develop, evaluate, & improve manufacturing methods. Required: High School diploma and 2 yrs exp as a technician with large gas & steam turbines. Prior exp must incl: reading & interpreting complex technical drawings & specifications; understanding of geometric dimensioning & tolerance; AutoCAD, NX, Pro Engineer, TDM, & Team Centre; Microsoft office products, SAP, OIL & SPS tools; tools for development & customization of post processors for Multi-axis CNC Grinding equipment; Reverse Engineering tools & process definition for tooling & fixture calibration; Tooling, Fixture & Lifter designs for heavy components; process development & machining of Hirth & Curvic clutches; operation of Gleason & Magerle machines; FMEA, Lean, Six Sigma & Product Process Qualifications; product development process; & evaluation & selection of Technology for manufacturing & assembly of Gas Turbines. Offer of employment with Siemens is conditioned upon the successful completion of a background check and drug screen, subject to applicable laws and regulations. Mail resumes to: Brett Sanchez, Siemens Energy, Inc., 4400 N. Alafaya Trail, Orlando, FL 32826. Please reference BS/KS. Applicants must be authorized to work in the US permanently. EOE.",1-3 years of experience
42,industrial engineer,"Sharp Packaging Solutions, an industry leading Pharmaceutical Contract Packager in Conshohocken, PA has an outstanding opportunity for an  INDUSTRIAL ENGINEER. Develops and implements appropriate operational standards and procedures as they apply to industrial engineering, cost reduction, manufacturing and facilities improvement programs. Reviews all cost estimates for accuracy prior to distribution and prepares timely accurate cost estimates based on requests from Sales.  Reviews and approves product changes (structures, routings, etc.) and completes input forms for maintenance of product structures and routings. Develops new and revised methods of manufacturing for all projects. Assist in designing and procuring of tools, jigs, fixtures and equipment.   The successful candidate must have a College Degree BS/BA Master’s Preferred and 4 yrs. related experience.  Sharp offers competitive wages and an exceptional benefits package.   Email resume to humanresources@sharpservices.com  or fax to 610-573-2233  Responses must include salary requirements.  No phone calls or walk-ins please.",1-3 years of experience
43,Manufacturing Systems Industrial Engineer,"<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Rite-Hite Doors, Inc. has an outstanding opportunity for the position of Manufacturing Systems Engineer.&nbsp; This position is responsible for the maintenance and development of the manufacturing systems, incorporating manufacturing and industrial engineering process knowledge. This position will plan, design and manage the manufacturing infrastructure and manage the configuration modules of manufacturing software.&nbsp;</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Qualified candidates must possess Bachelor's degree (B. S.) from 4-year college or university in industrial, manufacturing or mechanical engineering.&nbsp; Also, 1 to 5 years related experience in a fast paced manufacturing setting preferred, but not required. Knowledge of manufacturing, and engineering processes/methods, demonstrated understanding of Lean Manufacturing tools and concepts and Six Sigma training or certification desired. Understanding of ERP logic, MRP and inventory control experience is desired. Experience working with JD Edwards manufacturing platforms highly desired.&nbsp; APICS certification also preferred but not required.</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">&nbsp;</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Competitive starting salary with full benefit package provided.&nbsp; <strong>For the chance to join our team of successful and motivated professionals,&nbsp;please click apply and attach your resume.&nbsp;</strong></p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">&nbsp;</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;""><strong style=""box-sizing: inherit;"">Rite-Hite Corporation</strong></p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Human Resources</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">4343 Chavenelle Dr.</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Dubuque, IA 52002</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">&nbsp;</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">E O E / A A</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Drug Free Workplace</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">&nbsp;</p>",1-3 years of experience
44,industrial engineer,"ENGINEERING-Industrial Engineer: Micro Lithography, Inc in Sunnyvale, CA. Design systems for pellicle manu-facturing.BSIE/ME + 2 yrs exp. Send resume to: hr@mliusa.com w/Job# MLI-1608.",1-3 years of experience
45,Industrial Engineer,"<p class=""MsoNormal""><span style=""font-size: 13.5pt; font-family: Arial, sans-serif;"">Industrial Designer, design/develop Heckler Design products. FT, Req. Master in Industrial Design. Apply at Hecktech Inc. 2115 S. 11th Ave. #120, Phoenix, AZ 85007&nbsp;</span><span style=""font-size: 9.5pt;""><a href=""mailto:hr@hecklerdesign.com"" target=""_blank"">hr@hecklerdesign.com</a></span></p>",1-3 years of experience
46,Industrial Engineer,"<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Camso Manufacturing is seeking an&nbsp;<strong style=""box-sizing: inherit;""><em style=""box-sizing: inherit;""><span style=""box-sizing: inherit; text-decoration: underline;"">Industrial Engineer</span></em></strong>&nbsp;at our Peosta facility.&nbsp; This is a full-time, permanent position.</p>
<p style=""box-sizing: inherit; color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">Camso, the Road Free company is active in 27 countries around the world with more than 7,500 dedicated employees located primarily in Asia, Europe and North America.&nbsp; It has four R&amp;D centers and 24 manufacturing plants and operates an international distribution network in over 100 countries.<br style=""box-sizing: inherit;"" /><br style=""box-sizing: inherit;"" />When you choose to work with us, you join a team that's always on the move to achieve its dream.&nbsp; Want to reach your true career potential and break new ground?&nbsp; Join us where the road ends.</p>
<p style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;""><span style=""color: #303c42; font-family: Roboto, sans-serif; font-size: medium;"">- See more at: https://www.localjobnetwork.com/j/22949377?pc=FFE291B706</span></p>
<p style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;""><strong>JOB DUTIES</strong>&nbsp;&nbsp;</p>
<ul style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">
<li style=""margin-left: 15px;"">Analyze and improve material flow and plant layout to optimize production efficiency, safety, quality, and costs;</li>
<li style=""margin-left: 15px;"">Value stream management;</li>
<li style=""margin-left: 15px;"">Health and Safety risk assessment leader;</li>
<li style=""margin-left: 15px;"">Make or buy analysis;</li>
<li style=""margin-left: 15px;"">Lean manufacturing resource;</li>
<li style=""margin-left: 15px;"">Project management;</li>
<li style=""margin-left: 15px;"">Determine plant requirements and cost/profit benefits for potential expansions, machine conversions, etc.;</li>
<li style=""margin-left: 15px;"">Support other departments as needed.</li>
</ul>
<p style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">&nbsp;<strong>JOB SKILL REQUIREMENTS</strong>&nbsp;</p>
<ul style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;"">
<li style=""margin-left: 15px;"">Bachelor Degree in Industrial Engineering or Equivalent;</li>
<li style=""margin-left: 15px;"">2 or more years work experience would be preferred, but not necessary. Starting Salary will be based on experience and relative job knowledge;</li>
<li style=""margin-left: 15px;"">Exposure to and knowledge of APQP and PFMEA is preferred;</li>
<li style=""margin-left: 15px;"">Proficient Pro-E/Creo, plus AutoCAD is a plus;</li>
<li style=""margin-left: 15px;"">Must be self-directed, hands on, resourceful, people oriented, flexible, professional, positive attitude and have the ability to manage multiple priorities for a fast-paced and world class facility;</li>
<li style=""margin-left: 15px;"">Must have experience/knowledge of personal computer and MS office software, (Excel, Word, PowerPoint and Visio);</li>
<li style=""margin-left: 15px;"">Strong back ground in Lean Manufacturing;</li>
<li style=""margin-left: 15px;"">Back ground in agricultural equipment preferred;</li>
<li style=""margin-left: 15px;"">Travel:&nbsp; 5-10% max.&nbsp;if needed.</li>
</ul>
<p><strong>To apply for this position please go to AccessDubuqueJobs.com.</strong></p>
<p style=""color: #222222; font-family: arial, sans-serif; font-size: 12.8px;""><strong>Camso is an equal employment opportunity employer and an affirmative action federal contractor.</strong><br /><br /><strong>In compliance with the ADA&nbsp; Amendments act (ADAAA: American Disabilities Act as Amended), if&nbsp; you have a disability and would like to request an accommodation in order to apply for a position with Camso, please email&nbsp;Renae Bettcher at&nbsp;<a style=""color: #1155cc;"" href=""mailto:renae.bettcher@camso.co"" target=""_blank"" rel=""noopener noreferrer""><span style=""color: #0066cc;"">renae.bettcher@camso.co</span></a>&nbsp;</strong></p>",1-3 years of experience
47,Senior Industrial Engineer,"Senior Industrial Engineer. Mack Trucks Inc., Hagerstown MD seeks individual to support and drive a continuous improvement philosophy utilizing tools in the Volvo Production System and other lean initiatives to meet present and future demands. Qualified apps will have 3 yrs exp working in a manufacturing assembly environment conducting Kaizen/Continuous improvement activities. For a complete position profile with requirements and to apply go to
Volvo Careers at  https://xjobs.brassring.com/1033/ASP/TG/cim_jobdetail.asp?partnerid=25079&siteid=5171&AReq=70314BR&codes=Volvo",1-3 years of experience
48,Industrial Engineer,"<p>Industrial Engineer in Miami, Florida.</p>
<p><strong>Requirements:</strong> Bachelor's Degree in Industrial Engineering or foreign equivalent plus 2 years of experience in the maintenance and repair of industrial equipment. Verifiable references.</p>",1-3 years of experience
49,Industrial Engineer,"GKN Driveline Newton, LLC seeks an Industrial Engineer (work location:  Newton, NC) to generate daily production reports, performance summaries & machine utilization reports. Req. Master Degree or foreign educ. equiv. & 1 yr. exp.  Send resume, cover letter, job code IEGKNNEWS to:  M. Valentine, GKN Driveline Newton, LLC, 1848 GKN Way, Newton, NC 28658.",1-3 years of experience
50,Industrial Engineer,"<h2 style=""text-align: center;"">Guardian Industries, LLC</h2>
<h2 style=""text-align: center;"">has an opening for an</h2>
<h2 style=""text-align: center;""><span style=""text-decoration: underline;""> Industrial Engineer </span></h2>
<h2 style=""text-align: center;"">in Kingsburg, California. 40hrs/wk; 8am -5pm; M-F.</h2>
<h2 style=""text-align: center;"">&nbsp;</h2>
<p style=""text-align: left;""><br />Responsibilities: Perform research, design and development of manufacturing processes including production flow, assembly methods and production equipment; improve manufacturing processes and methods for cost-reduction, quality improvement and efficiency; estimate production costs, cost saving methods, and effects of product design changes on expenditures for management review, action, and control; improve yields, lower costs, and increase manufacturing uptime; create contracts for equipment acquisition and construction; monitor preparation of working drawings presented by outside contractors; identify ways to prevent waste and inefficiency in manufacturing processes; review production information to understand methods and activities in manufacturing and services including but not limited to, production schedules, process flows and engineering specs; design control systems to minimize and resolve production issues and project costs; review production schedules, engineering specifications, orders, and related information to obtain knowledge of manufacturing methods, procedures, and activities; and draft and design layout of equipment, materials, and workspace to illustrate maximum efficiency using drafting tools and computer.<br />Requirements: Bachelor&rsquo;s Degree in Industrial or Mechanical Engineering or foreign degree equivalent, plus 2 years of experience in engineering positions in manufacturing industry. Experience must include: project management of glass fabrication processes; developing techniques for managing processes in a manufacturing setting; data monitoring to ensure quality control; collection of critical process parameters; troubleshooting problems that occur during manufacturing process; working cross-functionally with product and process development teams; coordination of production processes including tooling, hydraulic systems, control systems, and conveyors.<br />Submit resumes to Guardian Industries, LLC:&nbsp;11535 E. Mountain View, Kingsburg, CA 93631. Include Ref #34840-347 w/resume. Guardian Industries, LLC&nbsp;is an equal opportunity/affirmative action employer.</p>",1-3 years of experience
51,INDUSTRIAL ENGINEER,"<p>Industrial Engineer</p>
<p>Progressive state of the art manufacturer of quality automotive parts, located in Nashville, IL is seeking an experienced Industrial Engineer. Job responsibilities include, but are not limited to,&nbsp; developing and administering a plant layout process, built around Systemic Layout Planning (SLP) and Systemic Handling Analysis (SHA) principles, that optimizes material handling and maintain associated drawing and documentation, assist with the development and maintenance of a plant wide scheduling and inventory system (WMS), apply operations research methods to create operational optimization models, apply, time and motion study techniques, etc.</p>
<p>Applicants must have five years of experience, B.S. degree in Engineering or Industrial Engineering, must have basic understanding of 8D, FMEA, APQP, SPC, understanding of standardized work and kaizen activity, proficient in AutoCAD14 or higher, ability to read automotive blueprints and engineering specifications, and be able to adjust to changing needs and conditions.</p>
<p>Interested and qualified candidates should email a resume to the HR Specialist at <a href=""mailto:hr.nascote@magna.com"">hr.nascote@magna.com</a>.</p>",1-3 years of experience
52,Senior Industrial Engineer,"<p>Henniges Automotive North America, Inc., Chinese-owned Tier-1 auto supplier of seal&rsquo;g systems, seeks Senior Industrial Engineer in Auburn Hills, MI. Nat&rsquo;l &amp; internat&rsquo;l travel 15%. Duties: develop mfg processes &amp; process flow for new business quotes; lead Design for Mfg Feasibility meet&rsquo;gs for all new business quotes &amp; support compliance w/ program milestones; ensure implementat&rsquo;n of benchmark&rsquo;g &amp; best practice processes at all mfg plants; incorporate innovat&rsquo;ns into new business quotes &amp; develop new cost calculat&rsquo;g models; work w/ Advanced Mfg Eng&rsquo;g &amp; Purchas&rsquo;g teams to develop competitive automat&rsquo;n processes &amp; capital &amp; tool&rsquo;g costs for new business quotes; participate in plant lean mfg activities (lean headcount calculat&rsquo;n, assembly line balanc&rsquo;g, product&rsquo;n plann&rsquo;g &amp; work cell layout &amp; capacity studies) for new business launch; evaluate current product&rsquo;n process efficiency, develop continuous improvem&rsquo;t activities &amp; recommend methods for cost reduct&rsquo;n; participate in part design reviews to ensure manufacturability of proposed designs; initiate mfg studies to develop best practices; support mgmt of central capital asset list for global mfg ops. Min edu req: bachelor in mechanical eng&rsquo;g, industrial technology or industrial eng&rsquo;g or foreign equiv degree. Min exp req: must have 2 yr exp in industrial eng&rsquo;g posit&rsquo;n w/ Tier-1 auto supplier of seal&rsquo;g systems. Special skills req: must have 2 yr work exp in each of follow&rsquo;g: apply&rsquo;g data analysis techs to assess impact of changes &amp; improvem&rsquo;ts on product mfg processes; us&rsquo;g AutoCAD to define &amp; review mfg plant layouts; work&rsquo;g w/ cross-funct&rsquo;nal multi-cultural teams on definit&rsquo;n of processes &amp; assessm&rsquo;t of mfg risks; develop&rsquo;g &amp; coordinat&rsquo;g implementat&rsquo;n of industrial eng&rsquo;g processes to ensure optimizat&rsquo;n of space, materials &amp; labor; implement&rsquo;g benchmark&rsquo;g &amp; best practice methods. Must have 6 mo work exp in each follow&rsquo;g: develop&rsquo;g &amp; defin&rsquo;g product&rsquo;n costs for auto seal&rsquo;g systems; evaluat&rsquo;g tool&rsquo;g capital; integrat&rsquo;g logistics, packag&rsquo;g, product design &amp; purchas&rsquo;g data into cost estimat&rsquo;n models; work&rsquo;g w/ Eng&rsquo;g &amp; Sales personnel to optimize estimates &amp; draft bids; collaborat&rsquo;g w/ Finance &amp; Process Eng&rsquo;g personnel to standardize global quot&rsquo;g procedures; apply&rsquo;g global benchmarks to draft quotes for new program process cycles; support&rsquo;g global cost estimat&rsquo;n team in evaluat&rsquo;n of volume cost, tool&rsquo;g &amp; capital; perform&rsquo;g financial analyses for eng&rsquo;g change requests for global programs. Exp may be acquired concurrently. Resume to <a href=""mailto:careers@hennigesautomotive.com"">careers@hennigesautomotive.com</a> (Subject Line:&nbsp; HQ-2020-12 Industrial Engineer), or mail to Henniges Automotive North America, Inc., Human Resources, ATTN: Paula Pilotti, 2750 High Meadow Circle, Auburn Hills, MI 48326. EOE. Employer Paid Ad.</p>",1-3 years of experience
53,Industrial Engineer,"<p><strong>Industrial Engineer</strong><br /><br />Summary: Responsible for evaluating existing processes &amp; configuring mfg systems to reduce cost, improve sustainability &amp; develop best practices w/i the production process.</p>
<ul>
<li>Primary responsibilities</li>
<li>Evaluate processes in mfg systems while maintaining reliability and safety to improve production rates, efficiencies, yields, costs, and changeovers.</li>
<li>Assess process capabilities, prioritize process improvement opportunities, and innovates &amp; implement process improvements on multiple &amp; moderately complex processes.</li>
<li>Perform times studies, develops work standards, track &amp; analyze data to track for improvement/monitoring.</li>
<li>Investigate occurrence of internal/external defects and recommend corrective actions.</li>
<li>Work with original equipment mfgs to develop cost-effective &amp; working production processes.</li>
<li>Research &amp; determine ROI of new mfg technology.</li>
<li>Improve mfg efficiency by analyzing &amp; planning work-flow, space requirements &amp; equipment layout</li>
<li>Lead &amp; coach cross functional problem solving &amp; process improvement teams.</li>
<li>Review production schedules, engineering specs, process flows &amp; other info to understand methods &amp; activities in mfg &amp; services.</li>
<li>Enact quality control procedures to resolve production problems or minimize costs.</li>
<li>Design control systems to coordinate activities &amp; production planning to ensure that products meet quality standards.</li>
<li>Resolve how to manufacture parts or products, or deliver services, w/ maximum efficiency.</li>
<li>Collaborate with all the depart managers &amp; initiate, develop &amp; complete cost saving projects.</li>
</ul>
<p><br />Qualifications Required - We are seeking an engineer with a broad understanding of process improvement techniques &amp; lean mfg principles &amp; how those principles can be inc. into a rudimentary mfg process.</p>
<ul>
<li>Master&rsquo;s Degree in Industrial Engineering</li>
<li>Lean Six Sigma Green Belt Certified</li>
<li>Minimum 2 yrs work exp in Mfg and PLC systems</li>
<li>Must have exp with VBA and SQL, ERP systems</li>
<li>Must have excellent Analytical / Problem Solving skills</li>
<li>Must be able to establish and promote a work environment that supports the Quality Policy and Quality System.</li>
<li>Experience w/implementation &amp; auditing of ISO 9001</li>
<li>Results oriented, curious, &amp; self-motivated w/the ability to effectively manage multiple tasks/projects.</li>
<li>In-depth exp with Lean Mfg methods &amp; continuous improvement mindset.</li>
<li>Exp. using visual management systems.</li>
</ul>
<p><br />To apply, please send resumes via email at the link on this page!</p>",1-3 years of experience
54,Industrial Engineer,"<p><strong>Industrial Engineer</strong><br /><br />Summary: Responsible for evaluating existing processes &amp; configuring manufacturing systems to reduce cost, improve sustainability &amp; develop best practices within the production process.</p>
<ul>
<li>Primary responsibilities</li>
<li>Evaluate processes in manufacturing systems while maintaining reliability and safety to improve production rates, efficiencies, yields, costs, and changeovers.</li>
<li>Assess process capabilities, prioritize process improvement opportunities, and innovates &amp; implement process improvements on multiple &amp; moderately complex processes.</li>
<li>Perform times studies, develops work standards, track &amp; analyze data to track for improvement/monitoring.</li>
<li>Investigate occurrence of internal/external defects and recommend corrective actions.</li>
<li>Work with original equipment manufacturers to develop cost-effective &amp; working production processes.</li>
<li>Research &amp; determine ROI of new manufacturing technology.</li>
<li>Improve manufacturing efficiency by analyzing &amp; planning work-flow, space requirements &amp; equipment layout</li>
<li>Lead &amp; coach cross functional problem solving &amp; process improvement teams.</li>
<li>Review production schedules, engineering specs, process flows &amp; other info to understand methods &amp; activities in manufacturing &amp; services.</li>
<li>Enact quality control procedures to resolve production problems or minimize costs.</li>
<li>Design control systems to coordinate activities &amp; production planning to ensure that products meet quality standards.</li>
<li>Resolve how to manufacture parts or products, or deliver services, with maximum efficiency.</li>
<li>Collaborate with all the depart managers &amp; initiate, develop &amp; complete cost saving projects.</li>
</ul>
<p>Qualifications Required - We are seeking an engineer with a broad understanding of process improvement techniques &amp; lean manufacturing principles &amp; how those principles can be incomplete into a rudimentary manufacturing process.</p>
<ul>
<li>Master&rsquo;s Degree in Industrial Engineering</li>
<li>Lean Six Sigma Green Belt Certified</li>
<li>Minimum 2 years work experience in Manufacturing and PLC systems</li>
<li>Must have experience with VBA and SQL, ERP systems</li>
<li>Must have excellent Analytical / Problem Solving skills</li>
<li>Must be able to establish and promote a work environment that supports the Quality Policy and Quality System.</li>
<li>Experience with implementation &amp; auditing of ISO 9001</li>
<li>Results oriented, curious, &amp; self-motivated w/the ability to effectively manage multiple tasks/projects.</li>
<li>In-depth experience with Lean manufacturing methods &amp; continuous improvement mindset.</li>
<li>Experience using visual management systems.</li>
</ul>",1-3 years of experience
55,Industrial Engineering Staff,"<p>AVAILABLE POSITIONS: <br />&bull; Industrial Oven Tech &mdash; 1st Shift <br />&bull; Hydraulic Press Operator &mdash; 1st Shift <br />&bull; General Labor &amp; Demount &mdash; 1st Shift <br />&bull; Abrasive Material Weigher &mdash; 1st Shift <br />&bull; Abrasive Molder &mdash; 1st Shift</p>
<p style=""margin-bottom: 12.0pt;""><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">ELIGIBLE FOR BENEFITS:<br />&nbsp;&bull; Paid Vacation &amp; Holidays<br />&bull; Skill Development<br />&bull; Tuition/Training Reimbursement<br />&bull; Wellness Programs<br />&bull; Employee Engagement Activities<br />&bull; Community Initiatives<br />&bull; 401k) Matching<br />&bull; Medical<br />&bull; Dental<br />&bull; Vision</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">REQUIREMENTS:<br />&bull; Some Daily &amp; Weekend Overtime May be Required<br />&bull; High school diploma or GED<br />&bull; Abrasive wheel experience a plus<br />&bull; Mathematical and mechanical aptitude<br />&bull; General computer skills<br />&bull; Must have good common judgment to help with product flow<br />&bull; Ability to read and use tape measure and micrometers<br />&bull; No restriction to regularly lift 30 lbs. &amp; occasionally lift 50 lbs.</span><br /><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">&bull; Must be able to perform general bending and turning<br />&bull; Must be able to stand for an entire shift<br />&bull; Strong attention to details<br />&bull; Ability to communicate clearly and effectively<br />&bull; Self-starter and highly motivated<br />&bull; Excellent time management<br />&bull; Punctual and strong work ethic</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">ABOUT GARDNER ABRASIVES</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">Founded in 1905, Fives Landis Corp. (Gardner Abrasives) is a progressive abrasive wheel manufacturer located in South Beloit, IL. As a global manufacturing partner for key industries such as Automotive, Bearing, and Heavy Equipment, the Gardner Abrasives division remains a pioneer in innovation for custom-engineered abrasive &amp; super abrasive grinding solutions.</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">ABOUT FIVES</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">Fives, an industrial engineering Group with more than 200 years of history, designs and supplies machines, process equipment and production lines for the world's largest industrial groups including the aluminium, steel, glass, automotive, aerospace, logistics, cement, and energy sectors. Headquartered in Paris (France), Fives has a network of over zoo operational units in nearly 30 countries worldwide, including 17 locations in the US. Five sustainably leads the future of manufacturing demonstrating each day that Industry Can Do It.</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">CONTACT US: Fives Landis Corp. &mdash; (Gardner Abrasives) Human Resources: Sandi Harden 481 Gardner Street &mdash; South Beloit IL 6io8o &mdash; USA Tel: +1 815 389 5185 &mdash; Email: Sandra.harden@fivesgroup.com</span></p>
<p><span style=""font-size: 11.0pt; font-family: 'Calibri','sans-serif';"">www.fivesgroup.corn</span></p>",1-3 years of experience
56,Industrial Engineering Technician,"<p><strong>Wellins, Inc. is looking for Industrial Engineering Technicians.</strong>&nbsp;Duties are:</p>
<p>[1] Design and plan automated systems according to customer&rsquo;s needs;</p>
<p>[2] Setup and install automated systems in manufacturing factory;</p>
<p>[3] Provide engineering support to manufacturing lines with automation systems; and etc.</p>
<p>Job location: 3051 Kumho Parkway, Macon GA 31216.&nbsp;Requirement: At least 1-year work experience and Korean language fluency.</p>
<p>Send resume to Wellins, Inc. 6420 Atlantic Blvd Suite 500, Norcross GA 30071</p>",1-3 years of experience
57,Industrial Engineer,"<p><strong>Industrial Engineer.</strong> Responsible for development, implementation, evaluation, and<br />optimization of orthodontic appliance processes and production. Prepare 501K FDA<br />submissions. Create 3D drawings using SolidWorks or similar. Rqd. MSc in industrial and<br />systems engineering and 18 mo. experience. Apply with resume by email to:<br />hhaas@cdbcorp.net, CDB Corporation, Leland, NC.</p>",1-3 years of experience
