,jobtitle,jobdescription,experience
656,sr software engineer - java,"ENGINEERING-Cinarra Systems, Inc. is recruiting for our Cupertino, CA office: Sr. Software EngineerJava: Design, develop & deploy s/w products to implement Cinarra's analytics and web services. Work within the engineering team to design & develop Cinarra services on cloud. Mail resume w/ job code #37743 to: Cinarra Systems, Attn.: HR, 19409 Stevens Creek Blvd., Ste. 200, Cupertino, CA 95014.",No experience
657,software engineer,"ENGINEERING 
	Pure Storage, Inc. has following job opps. in Mountain View, CA: Member of Technical Staff (Software Engineer) [Req. #RHY47]. Dsgn # dvlp SW for storage arrays to connect to cloud srvces for monitoring. Software Engineer [Req. #YMK91]. Dsgn & dvlp SW for highly scalable storage systems. Sr. Financial Analyst [Req. #FNA77]. Assist w/build'g scalable & efficient reporting processes of financl & op. prfrmnce drivers & participate in rltd FP&A initiatives. Mail resumes refernc'g Req. # to: G. Vega, 650 Castro St, Ste 400, Mountain View, CA 94041.",No experience
658,software engineers,"SOFTWARE 
	ENGINEERS: 
	Utilize undergraduate - level knowl. to develop systems. Mail to: #SWE03-B, attn S. Do, Quora, Inc., 650 Castro St, Ste 450, Mountain View, CA 94041",No experience
659,software engineer,"SOFTWARE 
	ENGINEER 
	Indep. assess risks, select architect. design patterns, dev sw feat. & deliver unit-tested & autom code. Prod. support w/in SDLC Bach+5/Mast+3. Mail #C163, S Millett Certent Inc 
	4683 Chabot Dr Ste 260 Pleasanton CA 94588",No experience
660,staff software engineers,"ENGINEERING 
	Applied Micro Circuits Corporation (APM) has an opening for a Staff Software Engineer in Santa Clara, CA. Design the software layers, device drivers for new hardware to work seamlessly with telecom & data comm. equipment used on telecom & data comm. industries. Reqs. travel 1-2 times per year in US & abroad for on-site help to support chip software. Reqs. bckgrnd. check. Mail resume to: APM, 4555 Great America Pkwy., Ste. 601, Santa Clara, CA 95054. Attn: T. Johnson. Ref. job code: 20161123UP.",No experience
661,staff software engineer,"ENGINEERING-MapR Technologies, Inc. in San Jose, CA seeks Staff Software Engineer: Analyze, design, code, unit test and modify software enhancements that will improve the functionality, performance, and scalability of Company products. Mail resume to MapR, Attn: HR Job Code #37735, 350 Holger Way, San Jose, CA 95134.",No experience
662,Software Engineer,"adidas America, Inc. seeks Software Engineer to work in Spartanburg, SC. Resp for dsgn & dvlpmt of business features for all distributn & warehousng applctns for the Global IT distributn prjcts. Degree &  commensurate experience req'd. For details & to apply see req #154878 at http://careers.adidas-group.com/.",No experience
663,Software Engineer I,"Software Engineers I sought by zulily, LLC in Seattle, WA to build technology for online retailer. For full job description & to apply, go to www.jobpostingtoday.com ref # 47496",No experience
664,SENIOR SOFTWARE ENGINEERS,"<p>SENIOR SOFTWARE ENGINEERS Redmond, WA area. Requirements gathering, design, develop &amp; test software. Project documentation &amp; manage projects for small team of engineers. Liaise with users &amp; provide training. Work with SQL Server, C# .NET, Visual Basic .NET, ASP .NET, Javascript &amp; XML. Send res to Vidyatech Software, LLC, 14823 SE 79th Pl., Newcastle, WA 98059.</p>",No experience
665,Software Engineer,"Computer/IT: adidas America, Inc. seeks Software Engineer to work in Spartanburg, SC. Resp for dsgn & dvlpmt of business features for all distributn & warehousng applctns for the Global IT distributn prjcts. Degree & commensurate experience req'd. For details & to apply see req #154878 at http://careers.adidas-group.com/.",No experience
666,Software Engineer,"<p style=""text-align: justify;"">Government Scientific Source is the leading dedicated supplier of analytical chemistry equipment and consumables to federal, state, and municipal government laboratories. Government Scientific offers the widest selection of products and the most procurement channel options available in the industry. We maintain multiple GSA federal supply schedules, DAPA contracts, and blanket purchase agreements to facilitate procurement administration and compliance.</p>

<p style=""text-align: justify;""><br />
Position: <strong>Software Engineer</strong></p>

<p style=""text-align: justify;""><br />
Department: Information Technology</p>

<p><br />
Basic Function: Design and develop applications to stream line business practices and increase productivities. The Software Engineer will have an insatiable appetite to learn new technologies and methodologies.</p>

<p style=""text-align: justify;""><strong>Job Duties: </strong>(include but not limited)</p>

<ul>
	<li style=""text-align: justify;"">Execute the entire lifecycle of product development</li>
	<li style=""text-align: justify;"">Be responsible for ownership and collaboration on the specifications, design, development, unit testing, documentation and maintenance of software components and features</li>
	<li style=""text-align: justify;"">Learn and apply new technologies/frameworks/ languages as required</li>
	<li style=""text-align: justify;"">Provide input to drive improvements into the software development process</li>
</ul>

<p style=""text-align: justify;""><strong>Job Requirements:</strong></p>

<ul>
	<li style=""text-align: justify;"">Bachelor’s level degree in Computer Science or related fields</li>
	<li style=""text-align: justify;"">4 + years of high level programming language design and programming experience (College Courses accepted)</li>
	<li style=""text-align: justify;"">Must be willing to learn new technology</li>
	<li style=""text-align: justify;"">Must be a team player</li>
	<li style=""text-align: justify;"">Must be able to multi-task in a fast pace enviornment</li>
</ul>

<p style=""text-align: justify;""><strong>Benefits:</strong><br />
401K, Health Care, Dental, FSA, life insurance, Profit sharing and more</p>

<p style=""text-align: justify;"">Please include your cover letter and resume with salary requirements to <strong>HR@govsci.com.</strong></p>

<p style=""text-align: justify;""><br />
Hiring Location: Reston, VA</p>

<p>&nbsp;</p>",No experience
667,Software Engineer,"(SWE). Position in San Diego, CA.  Resumes can be sent to Attn: Donna (Job #SWE), Hi Tech Honeycomb Inc., 9355 Ruffin Ct, 
San Diego, CA 92123.",No experience
668,software engineer,"<p>ENGINEERING- Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer: Design, develop, troubleshoot and debug a distributed and scaled infrastructure for routing protocols on Company products.&nbsp;</p>",No experience
669,"Software Engineer, Full Stack","<p><strong>Software Engineer, Full Stack</strong></p>
<p><strong>Pure Storage, Inc.</strong></p>
<p><strong>Our Team</strong></p>
<p>Puritans come from various backgrounds and we thrive off of challenging the norm. This cross pollination of backgrounds led to numerous ground breaking ideas and has helped us build one of the most reliable and easy to use storage systems in the industry. We strive to hire the best and brightest people, who excel in a cutting edge, fast paced, collaborative and transparent environment. &nbsp;We are seeking enthusiastic individuals to solve real world problems while having fun along the way.</p>
<p><strong>What You Will Be Doing</strong></p>
<p>Full lifecycle application development</p>
<p>Designing, coding and debugging applications in various software languages.</p>
<p>Software analysis, code analysis, requirements analysis, software review, identification of code metrics, system risk analysis, software reliability analysis</p>
<p>Performance tuning, improvement, balancing, usability, automation&nbsp;</p>
<p>Support, maintain and document software functionality</p>
<p>Integrate software with existing systems.</p>
<p><strong>What You Bring to the Team</strong></p>
<p>B.S. in Computer Science or equivalent, advanced degree preferred</p>
<p>At least 5 years of professional, hands-on software development experience with proficiency in one of the following programming languages: Java, C++, C, C#</p>
<p>In-depth knowledge of end-to-end web services and full stack web development (HTML, JavaScript, Java, Python, REST API&rsquo;s, and various app servers)</p>
<p>Experience delivering Enterprise products, especially SaaS-based services, a plus.</p>
<p>Strong customer focus</p>
<p>Solid knowledge of end-to-end quality best practices</p>
<p>Strong analytical and problem-solving skills</p>
<p>Excellent written and verbal communication skills</p>
<p><em>Pure Storage, Inc. is committed to equal treatment of all employees without regard to race, national origin, religion, gender, age, sexual orientation, veteran status, physical or mental disability or other basis protected by law.</em></p>",No experience
670,Software Engineer,"<p><strong>Software Engineer</strong></p>
<p><strong>Juniper Networks, Inc.</strong></p>
<p>You will design, execute and automate the end-to-end test plans for Juniper Networks IPSEC and PKI solutions across Juniper Security products including SRX, MX, VSRX and VMX. The candidate should be strong team player, results oriented, metrics driven and capable of working in a fast-paced, changing environment. The job also requires executing tests and discovering defects at various stages of release process while writing high quality automated test suites. Candidate must have passion for working on the new technologies. Capable of understanding technology not only in depth, but also the big picture. You will also work closely with development and cross-functional teams for quick closure of reported issues/bugs. The candidate should be able to demonstrate prior expertise in one or more technologies, related to Security and Routing/Switching.</p>
<p><strong>Required Skills and Experience:</strong></p>
<p>Broad knowledge of and exposure to IPSEC, PKI, IKEv1, IKEv2 &nbsp;technologies, different Crypto and Authentication algorithms and firewall concepts are essential for success in this role.</p>
<p>6 + years of experience in testing security products with a focus on qualifying Service provider high-end firewalls, Enterprise mid-level firewalls as well as virtual platforms.</p>
<p>Good knowledge of networking concepts (WAN, LAN, TCP/IP, firewalls, V4, V6), should know in and out of all seven layers.</p>
<p>Good knowledge of virtualization concepts, KVM, Xen, and VMware Hypervisors is a plus.</p>
<p>Experience using 3rd party test equipment such as Ixia, IXload, and Spirent.</p>
<p>Experience in testing L4-L7 protocols, Tunneling Protocols, IPSEC or Routing Protocols is desirable.</p>
<p>Working knowledge of UNIX is a must; proficiency in at least one of scripting language, such as perl/tcl/python is must. The Candidate must be able to automate the test cases using test infrastructure.</p>
<p>Tackles complex issues in creative ways and uses originality, ingenuity, and expertise to create effective and lasting solutions</p>
<p>Excellent communication skills, both verbal and written.</p>
<p><em>Juniper Networks, Inc. is committed to equal treatment of all employees without regard to race, national origin, religion, gender, age, sexual orientation, veteran status, physical or mental disability or other basis protected by law.</em></p>",No experience
671,Software Engineer,"<p><strong>Software Engineer</strong></p>
<p><strong>Rubrik</strong></p>
<p>Develop the next-generation technology that will change how businesses around the world manage and unlock value from their data.</p>
<p>Our engineers have worked on massively successful products like Google Search, Youtube, Google Maps, Google File System, Facebook, Oracle Exadata and Apple iOS which are used by billions of people around the world; at Rubrik, we want to bring the massive scale and simplicity of those products to manage zettabytes of business data across private and public clouds.</p>
<p>With our broad mission, you would be able to work on fun and hard technical problems in the areas of distributed systems, NoSQL databases, search and information retrieval, networking and virtualization technologies.</p>
<p><strong>Requirements:</strong></p>
<p>Degree in Computer Science</p>
<p>Strong in data structures, algorithms, and software design</p>
<p>Expert knowledge developing and debugging in C++, Java or Scala</p>
<p>Large distributed systems design and development experience is a bonus</p>
<p>Strong interest in learning new technologies</p>
<p><em>Rubrik is committed to equal treatment of all employees without regard to race, national origin, religion, gender, age, sexual orientation, veteran status, physical or mental disability or other basis protected by law.</em></p>",No experience
672,Software Engineer,"<p>ENGINEERING-Juniper Networks, Inc. is recruiting for our Sunnyvale, CA office: Software Engineer: Design, develop, troubleshoot and debug features and implement systems and solutions to automate the development, testing, and integration of tools and applications involved in Continuous Delivery. Mail single-sided resume w/ job code #15403 to: Juniper Networks, Attn.: MS A.4.435, 1133 Innovation Wy., Sunnyvale, CA 94089</p>
<p>&nbsp;</p>
<p><strong>Software Engineer Job Duties:</strong></p>
<p>&nbsp;</p>
<p>Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions.</p>
<p>Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.</p>
<p>Prepares and installs solutions by determining and designing system specifications, standards, and programming.</p>
<p>Improves operations by conducting systems analysis; recommending changes in policies and procedures.</p>
<p>Obtains and licenses software by obtaining required information from vendors; recommending purchases; testing and approving products.</p>
<p>Updates job knowledge by studying state-of-the-art development tools, programming techniques, and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.</p>
<p>Protects operations by keeping information confidential.</p>
<p>Provides information by collecting, analyzing, and summarizing development and service issues.</p>
<p>Accomplishes engineering and organization mission by completing related results as needed.</p>
<p>Develops software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle.</p>",No experience
673,sr software engineer,"ENGINEERING 
	Solarcity Corp has multiple openings for Sr Software Engineer in San Mateo, CA. Design& develop cutting edge web applications. Develop front & back end components using ASP.NET MVC platform. Mail resume to SolarCity, Attn: People Empow-erment/CR, 3055 Clearview Way, San Mateo, CA 94402. Must reference #SSED-CA",No experience
674,software engineer,"ENGINEERING 
	Clover Network, Inc. has following job opps. in Sunnyvale, CA: Sr. Software QA Engineer [Req. #SQA98]. Prfrm manual & automated test'g of Android based pt. of sales devices. Operations Manager [Req. #SBN24]. Prfrm supply chain ops mgmt. from end-to-end product lifecycle cover'g new prdct intro. thru end-of-life phases. Mail resumes refrnc'g Req. # to: Attn: E. Visco, 415 N Mathilda Ave, Sunnyvale, CA 94085.",No experience
675,software engineer,"ENGINEERING-Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer: Design, develop, troubleshoot, support and debug routing and switching functional testing within the continuous delivery environment. Mail single-sided resume w/ job code #33367: to Juniper Networks, Attn.: MS A.4.435, 1133 Innovation Way, Sunnyvale, CA 94089",No experience
676,"""Senior Software Engineer""","<table border=""2"" cellspacing=""0"" cellpadding=""0"">
<tbody>
<tr>
<td>
<table bgcolor=""#000000"">
<tbody>
<tr>
<td>Sr. Software EngineerSV EvolutionsFrisco, TX</td>
</tr>
</tbody>
</table>
MS+2 or BS+5 (CS, EE,EEE, or rel'd IT field).Exp. must include Java/J2EE,JDBC, Oracle, SpringSecurity, RESTful WebServices and Angular 2.0Job Loc: Frisco, TX.Available for employmentat various client sites in US.Send resume to SV EvolutionsPO Box 1992, Frisco TX 75034
<p style=""text-align: left;"" align=""right""><strong>Senior Software Engineer Job Duties:</strong></p>
<p style=""text-align: left;"" align=""right"">&nbsp;</p>
<p style=""text-align: left;"" align=""right"">Develops software solutions by studying information needs; conferring with users; studying systems flow, data usage, and work processes; investigating problem areas; following the software development lifecycle.</p>
<p style=""text-align: left;"" align=""right"">Determines operational feasibility by evaluating analysis, problem definition, requirements, solution development, and proposed solutions.</p>
<p style=""text-align: left;"" align=""right"">Documents and demonstrates solutions by developing documentation, flowcharts, layouts, diagrams, charts, code comments and clear code.</p>
<p style=""text-align: left;"" align=""right"">Prepares and installs solutions by determining and designing system specifications, standards, and programming.</p>
<p style=""text-align: left;"" align=""right"">Improves operations by conducting systems analysis; recommending changes in policies and procedures.</p>
<p style=""text-align: left;"" align=""right"">Updates job knowledge by studying state-of-the-art development tools, programming techniques, and computing equipment; participating in educational opportunities; reading professional publications; maintaining personal networks; participating in professional organizations.</p>
<p style=""text-align: left;"" align=""right"">Protects operations by keeping information confidential.</p>
<p style=""text-align: left;"" align=""right"">Provides information by collecting, analyzing, and summarizing development and service issues.</p>
<p style=""text-align: left;"" align=""right"">Accomplishes engineering and organization mission by completing related results as needed.</p>
<p style=""text-align: left;"" align=""right"">Supports and develops software engineers by providing advice, coaching and educational opportunities.&nbsp;</p>
</td>
</tr>
</tbody>
</table>",No experience
677,SOFTWARE DEVELOPER,"<font size=""2"" color=""#000000"">IT Firm seeks Software Developer to design, develop, test and implement software products and intranet/internet application using JAVA (J2EE), IBM BPM, BAM, BI, PL/SQL, XSLT, XMLSpy, IBM WPS, IBM MQ, Oracle, Windows/Linux. Install, upgrade, &amp; maintain software applications and perform systems backup and recovery. Prepare functional &amp; technical specs.,perform various types of tests, develop User Interface and generate customized reports.  Mail resumes to HRD, Prosis Technologies, Inc., 50 Cragwood Rd., Ste. # 215, South Plainfield, NJ 07080.</font>     Web Id: 85301",No experience
678,Software Developers,"<span style=""background-color: rgb(255, 255, 255); color: rgb(34, 34, 34); font-family: inherit; font-size: 12px; white-space: pre-wrap;"">Gather/analyze business &amp; functional req's. Develop tech design specs. Travel/relocate to various unanticipated U.S. locations. Send res. to: Alacriti, Inc., Attn: Katie DiLeo, 1551 S. Washington Ave, Ste. 130, Piscataway, NJ 08854.</span>Web Id: 86157",No experience
679,Software Engineer,"<p>Software Engineer Redmond, WA .Resp. for dev. or testing comp. softw. applications, sys. or services. Evaluate reqs., estimate dev. costs, design &amp; implement the softw., review the design and implementation, improve the dev. procs., perform unit testing, comm. status, analyze risks and compromises, integrate softw. into a larger sys., or diagnose &amp; resolve issues. Work on spec. softw. features or sections of code under supervision. May be assigned to various projs. that utilize the req. tech. skills to deploy successful prod. releases, from early prod. definition and scoping to detailed specs, implementation and roll-out phases.&nbsp; Req: Master&#39;s or foreign equiv. degree in Comp. Sci., Engg., Math., Info. Sys., Physics or a rel. field. and 6 months softw. dev. exp. formulating and analyzing softw. reqs. utilizing C, C++, C# or other high-level programming language. Pos. also reqs. educ. or exp. in: C#; <a href=""http://ASP.NET"">ASP.NET</a>; .NET; .NET Framework; SQL and/or T-SQL; Visual Studio; and Cloud Computing.&nbsp; Salary $117,400 to $125,000yr; standard co. benefits. 40 hrs/wk, M-F, 8am &ndash; 5pm.To apply, submit resumes to: Recruitment and Employment Office, MICROSOFT CORPORATION, Attn: Job Ref # MIC77882:, P.O. Box 56625, Atlanta, GA 30343.</p>",No experience
680,Software Engineer,"<p>Software Engineer Redmond, WA&nbsp; Resp. for dev. or testing comp. softw. applications, sys. or services. Evaluate reqs., estimate dev. costs, design &amp; implement the softw., review the design and implementation, improve the dev. procs., perform unit testing, comm. status, analyze risks and compromises, integrate softw. into a larger sys., or diagnose &amp; resolve issues. Work on spec. softw. features or sections of code under supervision. May be assigned to various projs. that utilize the req. tech. skills to deploy successful prod. releases, from early prod. definition and scoping to detailed specs, implementation and roll-out phases. Req: Master&#39;s or foreign equiv. degree in Comp. Sci., Engg., Math., Info. Sys., Physics or a rel. field. Pos. also reqs. educ. or exp. in: C++; C#; C; Multi-threaded programming; COM; XML; Algorithm analysis; Networking; and Machine learning.&nbsp; Salary $116,900 to $125,000 /year; standard co. benefits. 40 hrs/wk, M-F, 8am &ndash; 5pm. To apply, submit resumes to: Recruitment and Employment Office, MICROSOFT CORPORATION, Attn: Job Ref #: MIC76212, P.O. Box 56625, Atlanta, GA 30343.</p>",No experience
681,Software Engineer,"Global Healthcare Exchange is seeking a Software Engineer in Louisville, CO with the following requirements: BS in Computer Science, Engineering or a related field and 5 years experience. Prior experience must include: analyzing, designing and implementing 
	maintainable, scalable and efficient web applications using Java technologies (5 yrs); developing automated build, packaging and deployment scripts (2.5 yrs); interacting with development and product stakeholders for code quality and requirement clarifications (5yrs); 
	developing web applications software using agile methodologies (2.5yrs). Apply on-line at www.ghx.com, Careers",No experience
682,Software Engineering Associate Manager,"Software Engineering Manager (Multiple Positions) (Accenture LLP; Columbus, OH): Analyze, design, build, test, implement and/or maintain multiple system components or applications for Accenture or our clients. Must have willingness and ability to travel domestically approximately 50% of the time to meet client needs. For complete job 
	description, list of requirements, and to apply, go to: 
	https://www.accenture.com/us-en/careers/jobsearch (Job # 00441962).",No experience
683,Software Engineering Associate Manager,"Software Engineering Associate Manager (Multiple Positions) (Accenture LLP; Columbus, OH): Analyze, design, build, test, implement and/or maintain multiple system components or applications for Accenture or our clients. Must have willingness and ability to travel domestically approximately 50% of the time to meet client needs. For complete job description, list of requirements, and to apply, go to: 
	https://www.accenture.com/us-en/careers/jobsearch (Job #00442330).",No experience
684,Software Engineering Associate Manager,"Software Engineering Associate Manager (Multiple Positions) (Accenture LLP; Columbus, OH): Analyze, design, build, test, implement and/or maintain multiple SAP-related system components or applications for Accenture or our clients. Must have willingness and ability to travel domestically approximately 80% of the time to meet client needs. For complete job description, list of requirements, and to apply, go to: https://www.accenture.com/us-en/careers/jobsearch (Job # 00442321)",No experience
685,Software Engineer,"SOFTWARE ENGINEER
Ness USA has positions in Canonsburg, PA and unanticipated locations throughout the U.S. to write, modify and debug software, design and develop application components, test and document software, analyze requirements and transform them into technical designs. Send resumes to Thomas McLaughlin at 1000 Town Center Way, Suite 210, Canonsburg, PA 15317.",No experience
686,Software Engineering,"MANAGER - SOFTWARE V&V ENGINEERING

Bayer U.S. LLC seeks Manager - Software V&V Engineering to work in Indianola, PA, & be responsible for verification of entire medical device software platform to account for user interactions, performance, safety, & functionality as well as managing technical teams & project verification activities to support multiple new product development (NPD) & Life Cycle Engineering (LCE) projects. 
Apply @ 
http://career.bayer.us.",No experience
687,Software Developer I,"Software  Developer I  BS in Computer Science +2 years exp developing web applications to manage electronic health records utilizing C#, ASP.net, SQL Server, MVC 3, Enity Framework, CSS3, and Javascript. Jobsite: Santa Monica, CA. Send resume to Transplant Connect cbetancourt@transplantconnect.com",No experience
688,software engineer,"SOFTWARE 
	ENGINEERS  
	(Palo Alto, CA): Dsgn & build robust, hgh-prfr-mnce, reusable app. srvr cmpnts for AOL Mail; Resume to: AOL Inc. Attn: Kristin Faison, 22000 AOL Way, Dulles, VA 20166. Ref. job #BP624407NP",No experience
689,software engineer (lead front end web developer),"ENGINEERING: 
	Infostretch Corp SW Engr (Lead Front End Web Dev) mobile web platform using Angular JS. BS CS /IT+5yrs exp. Santa Clara, CA. jobs@infostretch.com",No experience
690,staff software engineer,"ENGINEERING: 
	Applied Micro Circuits Corporation (APM) has an opening for a Staff Software Engineer in Santa Clara, CA. Design & develop firmware (U-Boot/Tianocore) for APM's SoC processor. Requires bkgrnd. check. Mail resume to: APM, 4555 Great America Pkwy., Ste. 601, Santa Clara, CA 95054, Attn: T. Johnson. Ref. job code: 20160819TP",No experience
691,sr software engineer,"TECHNOLOGY 
	Hewlett Packard Enterprise is an industry leading technology company that enables customers to go further, faster. HPE is accepting resumes for the position of Sr. Software Engineer in Sunnyvale, CA (Ref. #HPECSUNTAPA2). Work with members of the engineering team to improve and maintain products. Design and implement major client-side features and components of company's platform, using the Scrum (agile) development methodology. Mail resume to Hewlett Packard Enterprise Company, 5400 Legacy Drive, MS H1-2F-25, Plano, TX 75024. Resume must include Ref. #, full name, email address & mailing address. No phone calls. Must be legally authorized to work in U.S. without sponsorship. EOE.",No experience
692,software engineer,"ENGINEERING-ShareThis, Inc. is recruiting for our Palo Alto, CA office: Software Engineer: Code in Javascript, Python, Java and Bash; build end-to-end Infrastructure; and contribute to the architecture and stability of applications. Mail resume w/ job code #37284 to ShareThis, Attn.: HR, 4005 Miranda Ave., Ste. 100, Palo Alto, CA 94304.",No experience
693,software engineer,"ENGINEERING-Cloudera, Inc. seeks Customer Operations Engineer: provide escalation support to our customer-facing support dept. Mail resume w/ job code #35846 to Cloudera, Attn.: HR, 1001 Page Mill Rd., Bldg. 3, Palo Alto, CA 94304.",No experience
694,software developers,"SOFTWARE DVLPRS 
	OpenX Technologies, Inc. has opportunities in Menlo Park, CA for S/W Engrs (levels 1, 2 & 3). Mail resume to Attn: HR, 888 E. Walnut St, 2nd Fl, Pasadena, CA 91101, Ref #MPVMU. Must be legally auth to work in the U.S. w/o spnsrshp. EOE",No experience
695,staff software engineer,"ENGINEERING: 
	Staff Sftw Engr (Code: SSE-PTM) in Mountain View, CA: Dsgn & dvlp sftw modules on MobileIron's cutting edge MDM platform. MS+2 yrs rltd exp/BS+5 yrs rltd exp. Mail resume to MobileIron, Attn: Piper Galt, 415 E. Middlefield Rd, Mt. View, CA 94043. Must ref title & code.",No experience
696,Software Developer,"SOFTWARE Oracle America, Inc. has openings for Software Developers positions in Stamford, CT. Job duties  include: Design, develop,  troubleshoot and/or test/QA  software. As a member of the  software engineering division,  apply knowledge of software  architecture to perform tasks  associated with developing,  debugging, or designing software applications or operating systems according to provided design  specifications. Apply by e-mailing resume to hetal.t.patel@oracle.com ,  referencing 385.16713. Oracle  supports workforce diversity.",No experience
697,Senior Software Engineer,"Senior Software Engineer: Design & dev software apps & systems. Reqs. exp. w/complex big data &/or cloud systems. FT @Simply Measured, Seattle, WA.  See www.simplymeasured.com for duties/reqs & to apply.",No experience
698,Senior Software Engineer,"<h3>About Magoosh</h3> <p>Magoosh is fixing a broken test prep industry.</p> <p>Why should students have to put up with exorbitant prices for boring test prep classes and books that might not even work? With Magoosh, they don't have to. Our mission is simple: create products that give students <em>everywhere</em> access to enjoyable, affordable, and quality test prep. We help millions study at their own pace, on their own time regardless of location, social status, or background. Our team is driven to create the best content and study tools because we're out to change the test prep experience for all.</p> <p>Magoosh started in 2009 with four co-founders and a few computers. Today, we're a growing team of 22 in-office employees, with products that are used all over the world in more than 180 countries. Millions have studied with us, downloaded our apps, and watched our videos. And every day, we work with thousands of students to help them get the scores they need to get into the schools they want.</p> <p>If you're a friendly, passionate, lifelong learner who's looking to make a real difference in students' lives, we want you to help us change the test prep world.</p> <p>Check out our values <a href=""http://magoosh.com/blog/magoosh-core-values/"">here</a>!</p> <h3><strong>About the Job</strong></h3> <p>We're looking for a Software Engineer. You'll help us improve our products, shape engineering process, and grow our small but impactful engineering team. We're a 25+ person company with 3 engineers, so you'll have a lot of autonomy and responsibility.   </p> <p>We've accomplished a lot with a little: we have over 2 million students using our free products, hundreds of thousands who have paid, and revenue well into the millions. Rather than pursuing hyper growth at all costs, we've built a profitable and growing company where we truly care about our employees and our students. We've turned test prep from a necessary evil into an <a href=""http://gre.magoosh.com/testimonials/2426"">enjoyable experience</a> at an <a href=""http://gre.magoosh.com/testimonials/2882"">affordable price</a>.</p> <h3><strong>About Engineering at Magoosh</strong></h3> <p>You'll work on all parts of our stack. So far we use Rails (the core of our application); PhoneGap + AngularJS (for some mobile apps); and ReactNative (for newer mobile apps). We're hosted on AWS, and you'll do a little bit of dev ops to make sure things keep running smoothly. We love previous experience with any of these, though we care more about the quality of your engineering than the languages you know.</p> <p>We build and ship new features quickly and deploy multiple times a day, but don't have many tests (maybe we should add more?). We work together to prioritize which bugs and features to work on, but don't try to build or fix everything, focusing on the most important problems. We work closely with non-engineers on the product team and other Magooshers, but we don't receive product requirements documents or create high-fidelity mockups. We all work together to iterate on product designs, as we don't have any dedicated designers. We're generally in the office from 9-10am to 6-7pm or so and sometimes work from home on evenings and weekends, if inspired or there's a need.</p> <p>This position is based in the Magoosh office in Berkeley, CA. You must be authorized to work in the US.</p>",No experience
699,Software Engineer Manager,"Software Engineering Manager (Multiple Positions) (Accenture LLP; Columbus, OH): Analyze, design, build, test, implement and/or maintain multiple system components or applications for Accenture or our clients. Must have willingness and ability to travel domestically approximately 80% of the time to meet client needs. For complete job description, list of requirements, and to apply, go to: https://www.accenture.com/us-en/careers/jobsearch (Job#: 00444395).",No experience
700,Software Developer,"Computers Headquartered in Redlands, Esri is the world leader in GIS software development. We are seeking professionals with all levels of experience to grow with us in the following areas:   GIS Product Engineer/Specialist Technical/Developer/Database/GIS/ Programming Support Analysts Software Development Engineer- Online Products Software Application Developer Software Developer/ Senior Software Developer Consultant/Project Manager Business/Report Analyst Release Manager Identity and Access Management Engineer   esri.com/careers  EOE",No experience
701,sr software engineer,"ENGINEER 
	OpenTV Inc. has openings in Mountain View, CA for Sr. Software Engineer to design & develop software for embedded systems based upon OpenTV technology & products for digital television receivers. Possible travel, domestic/ int'l. 
	Send resume to Attn: HR Dept., 275 Sacramento St., San Francisco, CA 94111. 
	Reference Job # 1280.163",No experience
702,software engineer,"ENGINEERING-Juniper Networks is recruiting for our Sunnyvale, CA office: Software Engineer: Develop detailed software functional and design specifications for switching products. Design, develop, unit test, and maintain networking software. Mail single-sided resume w/ job code #39995 to: Juniper Networks, Attn.: MS A.4.435, 1133 Innovation Way, Sunnyvale, CA 94089.",No experience
703,sr software engineer,"ENGINEER 
	Zebra Technologies Corporation sks Sr. Software Engineer in San Jose, CA  Perform design, development, coding, testing, research, programming and documentation for software systems, applications and/or operating systems. Job ID -BS+5 (36624) Degree Comp Sci, Info Systems Engring, or rltd. To apply go to www.zebra.com & search for Job ID. For'gn equiv deg accptd. EOE/ Affirm Actn Emplyr.",No experience
704,senior software engineer,"ENGINEERING  
	Senior Software Engineer in Campbell, CA (SSE-CA) Wrk as part of our Content Security unit wrk'g primarily on Barracuda Web Security Agent that wrks in conjunction w/ Barracuda Web Filter & cloud srvcs. Req BS+5. Mail resume: Barracuda Networks, Inc., 3175 South Winchester Blvd., Campbell, CA 95008 Attn: HShah/SSE-CA.",No experience
705,software developer,"TECHNOLOGY 
	Agilent Technologies Inc. has the following position available in Santa Clara, CA: Software Developer (RI-CA): Work with Java platform with understanding of J2EE architecture and components (RDBMS, Spring, Hibernate, REST). Send your resume (must reference job title and job code RI-CA) to Attn: Agilent Technologies c/o Cielo, 200 South Executive Drive, Suite 400, Brookfield, WI 53005.",No experience
706,software engineer,"ENGINEERING-Nimble Storage, Inc. seeks Software Engineer: design & develop software for storage networks & cluster computer systems. Mail resume w/ job code # 37317 to Nimble Storage, Attn.: HR, 211 River Oaks Pkwy, San Jose, CA 95134.",No experience
